679.5 532.5 104 90 69 79 155.5 311 98 74 36.5 141.25 19.5 120.25 135.5 291.333333333333 33.5 600 46 87.75 150.25 62.25 249 121.75 34.5 206.25 247.5 243 247.5 75
3291 3075 145 249.75 205.25 231.5 504 797.25 252.75 226 117.5 493.25 46.25 356.25 474 612.25 116 808.75 103.75 273.25 511.25 119 756.25 304 117.5 1620 1677.75 1779 1567.5 383.25
3422.25 3159 110.5 227.25 131.25 205.5 352.5 727 155.25 217.5 97.75 482.75 33.5 307.25 425 544.75 99 814.5 63.75 238 463.25 108.5 667 292.25 96 1414.5 1932 2123.25 1476.75 255.75
2046 1792.5 47.25 135 92 129.25 203 386.5 110.75 105.25 71.5 265.5 26 209.25 231 361.5 64 633.75 32 128.5 283 66.25 393.5 179.5 43.25 698.25 1066.5 968.25 732.75 147
982.5 996.25 43.25 89 70.75 91.25 134 273 55 73 30.75 142.75 23.5 109.5 162.5 210.75 30.75 594.75 16.25 76.75 197.25 69.75 298.5 143 42.25 433.75 613.75 577.5 421.25 100
779 768 24.5 69.5 63.5 63 107 236.5 49.25 61.5 31 107 17.3333333333333 146 97 165.75 26 551 14.75 52.25 172 39.75 211.75 85.5 23.5 230 396 405 219 109
943 924 44.3333333333333 72 58.5 67.25 144.75 245 51.5 60 34.5 90 15.5 81 106.75 175.25 22.5 509.75 20.75 67.75 203.5 51 232.5 80.25 22.25 315 436 408 250 49
974.25 1076.25 43 75.75 46 78 153 238.25 57.5 65.25 39.75 122.25 22.25 138.25 120.75 188.25 20.5 646.25 28.25 61.5 165.5 43 265 129.5 29 331.5 517.5 494.25 243 91.5
842.25 694.5 50.6666666666667 78.5 43 72 129 169 39 44.75 26.25 99.75 21.25 109.5 102.5 146 21.25 615.25 27 47.5 143.75 51.25 194.25 95.25 30.5 273.75 565.5 439.5 272.25 57
486.5 564.75 52 70.25 30.75 51.75 100 173 37.25 59.5 24 82.25 19.25 132.333333333333 79 131.5 18.75 584.5 20 48.75 135.25 49.5 165.25 88.25 22 149 349.5 411.75 220.5 34.75
734.25 540.75 58 91.25 45.5 77.25 99.5 190.5 53.5 57.5 20.75 112.75 18.5 101.25 81.25 145.75 30.75 543.25 24.25 55.25 144.75 34 169.25 76.25 31 285 399.75 352.5 276.75 66.75
984 888 71.6666666666667 107.75 44.75 90.25 154.25 253.25 56.25 68.25 35.25 143 22 134.25 121.75 228.75 35.5 678.5 35.25 91.5 145 63.5 267.5 166.25 38 459 534 468 405 99
1224 1413 74.25 123.25 66.5 134.5 237 350 100.25 91.75 68.5 214.5 25 188.5 175.5 311 57.25 702.5 28.25 120.75 201 66.75 355 169.75 45 639 744 675 621 153
2330 2786 100.5 228.75 132.75 210.25 306.25 533.25 163.5 162.75 124 395.25 44 240.75 286.75 469 88.25 832.25 67.25 233 289.5 113.25 536.75 307.75 139.5 1284 1574 1517 1276 190
2976 3505.5 141 321 197 231 466 677 230.25 206.5 164 464.25 58.75 383.75 417.5 553.25 131.25 952.5 97.75 289 360 144.5 671.75 404.5 130.25 1695 1648.5 1963.5 1617 244.5
2182.25 2196.5 105.75 207.75 99 145.25 310.25 431 90.25 115.5 62 239 24.5 223 254 308.75 49 787.5 49.5 153.5 258 77.25 445 257.5 92.25 1111 1240.75 1379 1108.75 124
